strategy_id,strategy,annual_return,volatility,sharpe_ratio,max_drawdown,market_condition,backtest_period
Strategy_A_001,Strategy_A,0.176,0.22723760613635113,0.22164996804622322,-0.08865208734239216,Bull,5Y
Strategy_A_002,Strategy_A,0.2188,0.08755889006795126,0.35089559656476,-0.16809376999121073,Bull,5Y
Strategy_A_003,Strategy_A,0.1111,0.16520382074659934,0.3604933379216816,-0.18652123742166377,Sideways,1Y
Strategy_A_004,Strategy_A,0.1503,0.18201866413906276,0.638329161452702,-0.11000182737591403,Sideways,1Y
Strategy_A_005,Strategy_A,-0.0103,0.2110823698489124,0.624846500623606,-0.19670194539689478,Bull,3Y
Strategy_A_006,Strategy_A,-0.0839,0.2693586765878746,0.4710873141599863,-0.09083095292706647,Bull,5Y
Strategy_A_007,Strategy_A,-0.2645,0.2569905209733898,0.8226160398779767,-0.1881279342845599,Bear,5Y
Strategy_A_008,Strategy_A,0.0723,0.176777341557112,0.6901202746289331,-0.210776150588673,Sideways,1Y
Strategy_A_009,Strategy_A,-0.2037,0.0878775253802262,0.8193225286535954,-0.15707845004720275,Bear,3Y
Strategy_A_010,Strategy_A,0.4183,0.1662012231746004,0.7820228349453059,-0.023491663106751853,Sideways,1Y
Strategy_A_011,Strategy_A,0.1245,0.19186305260499076,0.9463334630850962,-0.24617874766289843,Sideways,1Y
Strategy_A_012,Strategy_A,0.06,0.22076379158394654,0.31414917189206015,-0.25892812666234133,Bull,1Y
Strategy_A_013,Strategy_A,0.2267,0.2688429446250684,0.5488223173271761,-0.2027969865940389,Sideways,5Y
Strategy_A_014,Strategy_A,-0.0204,0.13633115178032545,0.8157423953389918,-0.2580686574120359,Bear,5Y
Strategy_A_015,Strategy_A,0.4952,0.1821182006394232,0.28432936321963864,-0.10827460434786813,Bull,5Y
Strategy_A_016,Strategy_A,0.1593,0.20860059642608533,0.5883163173222299,-0.16269527073463474,Sideways,5Y
Strategy_A_017,Strategy_A,0.2646,0.11774329566356433,0.3401870442437351,-0.12518194788719395,Bull,3Y
Strategy_A_018,Strategy_A,0.2942,0.19961193704081015,0.7827293312868254,-0.1230300613084771,Bull,5Y
Strategy_A_019,Strategy_A,-0.0315,0.18592894238526952,0.9076821334461094,-0.1881791949679025,Bull,3Y
Strategy_A_020,Strategy_A,-0.3178,0.25618614262236156,0.6091608900739327,-0.21776526054882128,Bear,5Y
Strategy_A_021,Strategy_A,0.3535,0.1138855126156217,0.6070700446394984,-0.025171217812509264,Sideways,5Y
Strategy_A_022,Strategy_A,0.3096,0.17728923588449783,0.9776337612938828,-0.1244185330267246,Bull,5Y
Strategy_A_023,Strategy_A,0.3591,0.21128633116068996,0.6426481999488673,-0.297615284339942,Sideways,5Y
Strategy_A_024,Strategy_A,0.0647,0.1758963154350148,0.592378181696096,-0.15544045064417264,Bull,3Y
Strategy_A_025,Strategy_A,0.3359,0.11374395476646348,0.8803344753354665,-0.22978921276963232,Bear,1Y
Strategy_A_026,Strategy_A,0.5289,0.15322216038113284,0.8636032687559239,-0.1181993113502359,Bull,1Y
Strategy_A_027,Strategy_A,0.0726,0.19036285776124423,0.7868560696458246,-0.07189226351239113,Bull,1Y
Strategy_A_028,Strategy_A,0.1029,0.3068776749657207,0.6653468064009634,-0.2059360218792894,Bear,5Y
Strategy_A_029,Strategy_A,0.3483,0.11738505041279426,0.9111914918816664,-0.09063816409879974,Bull,1Y
Strategy_A_030,Strategy_A,0.3613,0.17623101522222417,0.7009720355683764,-0.05564657372499794,Bull,3Y
Strategy_A_031,Strategy_A,0.5634,0.1904606654076547,0.6399681418300871,-0.12944993170980904,Bull,3Y
Strategy_A_032,Strategy_A,0.31,0.2196324998365813,0.7036669362798914,-0.20772020776707315,Bull,3Y
Strategy_A_033,Strategy_A,0.1323,0.1350472900862445,0.8420940796562997,-0.02805154545159662,Bull,1Y
Strategy_A_034,Strategy_A,0.2048,0.1943115406023689,0.7858590598293647,-0.027556991158925154,Bear,3Y
Strategy_A_035,Strategy_A,-0.1275,0.29397470839734086,0.9332843605956945,-0.15307087635759234,Bull,5Y
Strategy_A_036,Strategy_A,0.3951,0.11912298839610175,0.7169296421137757,-0.1474017982941452,Sideways,3Y
Strategy_A_037,Strategy_A,0.1011,0.18717272146992056,0.5390949012416184,-0.12798814653509927,Sideways,1Y
Strategy_A_038,Strategy_A,0.0556,0.2178241615193171,0.6481969817878641,-0.18259261983733505,Bull,1Y
Strategy_A_039,Strategy_A,-0.0231,0.1829544364815106,0.5921241408485527,-0.1671266360511594,Sideways,1Y
Strategy_A_040,Strategy_A,0.1086,0.18705931903553236,0.6319350954314413,-0.2028394879473771,Bull,1Y
Strategy_A_041,Strategy_A,-0.0904,0.21329182787597079,0.640247547597494,-0.05285537168015496,Bull,3Y
Strategy_A_042,Strategy_A,0.0438,0.18362366612828024,0.7883615562933021,-0.2812857549898595,Bear,3Y
Strategy_A_043,Strategy_A,0.116,0.21656769927814784,0.6713801948237348,-0.18954028414812757,Bull,5Y
Strategy_A_044,Strategy_A,0.0091,0.1627824327000241,0.7167358834226294,-0.07035107860359836,Sideways,3Y
Strategy_A_045,Strategy_A,0.1345,0.20215708929838733,0.6779488809913052,-0.14863023790833463,Bull,5Y
Strategy_A_046,Strategy_A,0.1034,0.14748125913031163,0.7146170421797795,-0.2386723857864316,Bear,1Y
Strategy_A_047,Strategy_A,0.0216,0.1693793183434452,0.7301996273872781,-0.19149013583532665,Bull,5Y
Strategy_A_048,Strategy_A,0.2073,0.17817136385031315,0.796141632276654,-0.033938473605540614,Sideways,3Y
Strategy_A_049,Strategy_A,0.0649,0.14271285227567382,0.9366718968848395,-0.05439182483007442,Bull,1Y
Strategy_A_050,Strategy_A,-0.029,0.10091861367287439,0.9306147505838421,-0.16390149935027595,Bear,3Y
Strategy_A_051,Strategy_A,0.3192,0.1176595854288097,0.6140521854589256,-0.23906744259260598,Sideways,1Y
Strategy_A_052,Strategy_A,0.2694,0.16817406498180792,0.3605782873999814,-0.07585911895837211,Bull,5Y
Strategy_A_053,Strategy_A,0.471,0.23303527642286104,0.29968647057340525,-0.19449564121370452,Bull,3Y
Strategy_A_054,Strategy_A,0.2064,0.19784248641658844,0.7625276815031865,0.021091167781347453,Bull,1Y
Strategy_A_055,Strategy_A,0.1359,0.22981533901259826,0.6481348831924032,-0.20983309966395763,Bear,3Y
Strategy_A_056,Strategy_A,0.2908,0.2113947682642322,1.0123652091244582,-0.11206522142506023,Sideways,1Y
Strategy_A_057,Strategy_A,0.0169,0.2288017363359243,0.9042913804783665,-0.043045871240530886,Bull,3Y
Strategy_A_058,Strategy_A,0.0063,0.15847992721109935,0.35451750890583056,-0.11885867730508126,Bear,5Y
Strategy_A_059,Strategy_A,0.3796,0.18311677621406341,0.7286681419897585,-0.1326953453203692,Bull,3Y
Strategy_A_060,Strategy_A,0.1853,0.16992171441444182,0.5116314024193492,-0.2530389091615711,Sideways,3Y
Strategy_A_061,Strategy_A,-0.0565,0.17839877213680544,0.7718916979480113,-0.11822601100100158,Sideways,1Y
Strategy_A_062,Strategy_A,0.4269,0.107145833680335,0.9133205427873974,-0.12368913282447548,Bull,3Y
Strategy_A_063,Strategy_A,-0.0107,0.20533326340264296,0.30237981071790787,-0.1488648296467291,Bull,5Y
Strategy_A_064,Strategy_A,0.1865,0.17469902676625904,0.794294419466195,-0.2085677516893591,Bear,3Y
Strategy_A_065,Strategy_A,0.1318,0.2380928674055375,1.1690249220217792,-0.16265825819458143,Sideways,1Y
Strategy_A_066,Strategy_A,-0.1162,0.11755094686051692,0.6125318956896952,-0.09582144495085249,Sideways,3Y
Strategy_A_067,Strategy_A,0.1429,0.062496405802738283,0.7787832778810164,-0.15803567249737485,Bull,5Y
Strategy_A_068,Strategy_A,0.227,0.1965725562636177,0.5694047081637659,-0.10554809664598604,Sideways,3Y
Strategy_A_069,Strategy_A,0.1966,0.1341818765199552,0.6056192395247533,-0.12763541691389593,Bull,1Y
Strategy_A_070,Strategy_A,0.0421,0.1992185552545232,0.6374335025491981,-0.18645313064559105,Bear,3Y
Strategy_A_071,Strategy_A,0.1317,0.20912182367973256,0.6417835047669133,-0.13682061462299833,Bull,5Y
Strategy_A_072,Strategy_A,0.2482,0.2584459573397293,0.5702169398667061,-0.19540338256393244,Sideways,3Y
Strategy_A_073,Strategy_A,0.242,0.21740637536990143,0.8455335492444831,-0.20937324868719098,Sideways,1Y
Strategy_A_074,Strategy_A,0.1194,0.21975642054339428,0.3386011341365046,-0.09596880075857239,Sideways,5Y
Strategy_A_075,Strategy_A,0.2349,0.052255944431232215,1.0251710871276911,-0.12301380369827106,Bear,3Y
